               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.022033,            0.014324,          0.00039412,             0.98234,             0.99504,             0.98591,              0.7344,            0.020852,           0.0089437,          0.00039825,           0.0081355,           0.0081355,           0.0081355
                 115,            0.022081,            0.014406,          0.00052879,             0.98482,             0.99704,             0.99088,             0.74482,            0.021572,           0.0087946,          0.00040815,            0.008119,            0.008119,            0.008119
                 116,            0.021551,            0.013825,          0.00053424,             0.98458,              0.9975,             0.99095,              0.7465,            0.021336,           0.0088146,          0.00041267,           0.0081025,           0.0081025,           0.0081025
                 117,            0.022441,             0.01394,          0.00051856,              0.9803,             0.99793,             0.99154,             0.74892,            0.020433,           0.0088375,          0.00042494,            0.008086,            0.008086,            0.008086
                 118,             0.02249,            0.013953,          0.00050166,             0.97558,             0.99504,             0.99192,             0.74314,            0.020678,           0.0088585,           0.0004342,           0.0080695,           0.0080695,           0.0080695
                 119,             0.02189,            0.013828,          0.00042624,             0.97828,             0.99793,             0.99127,               0.745,            0.020306,           0.0088391,          0.00043076,            0.008053,            0.008053,            0.008053
                 120,            0.021881,            0.014207,          0.00049554,              0.9782,             0.99793,             0.99137,              0.7452,            0.020502,           0.0089692,          0.00045902,           0.0080365,           0.0080365,           0.0080365
                 121,            0.022079,            0.013787,          0.00041992,             0.97632,             0.99504,             0.99043,             0.73601,            0.021344,           0.0088739,          0.00047149,             0.00802,             0.00802,             0.00802
                 122,            0.023085,            0.014324,          0.00047005,             0.97779,             0.99793,             0.99136,              0.7455,            0.020716,           0.0087994,           0.0005077,           0.0080035,           0.0080035,           0.0080035
                 123,            0.022592,            0.014211,          0.00047033,             0.97722,             0.99793,             0.99128,             0.74988,            0.020741,            0.008727,           0.0005014,            0.007987,            0.007987,            0.007987
                 124,            0.022342,             0.01348,          0.00040436,             0.97827,             0.99793,             0.99053,             0.74657,            0.020513,           0.0087582,          0.00048715,           0.0079705,           0.0079705,           0.0079705
                 125,            0.022013,            0.014221,          0.00044539,              0.9825,             0.99565,             0.99106,             0.76018,            0.019986,           0.0086908,          0.00044552,            0.007954,            0.007954,            0.007954
                 126,            0.022118,            0.013367,          0.00043498,             0.98193,             0.99706,             0.98922,             0.74855,            0.020528,           0.0088524,          0.00042203,           0.0079375,           0.0079375,           0.0079375
                 127,             0.02202,            0.013953,          0.00054025,             0.98081,             0.99504,             0.99109,               0.742,            0.020822,           0.0090199,          0.00038242,            0.007921,            0.007921,            0.007921
                 128,            0.022084,            0.014691,          0.00065975,             0.97677,             0.99296,             0.99198,             0.73913,            0.021711,           0.0090484,          0.00045946,           0.0079045,           0.0079045,           0.0079045
                 129,            0.021721,            0.014266,          0.00044142,             0.96424,             0.99296,             0.99182,              0.7311,            0.022419,           0.0093713,          0.00058495,            0.007888,            0.007888,            0.007888
                 130,            0.022273,            0.014251,          0.00062914,             0.97899,             0.99763,             0.99128,             0.74612,            0.021381,           0.0090359,          0.00044219,           0.0078715,           0.0078715,           0.0078715
                 131,            0.022794,            0.014955,          0.00042776,             0.97909,             0.99793,             0.99065,             0.74581,            0.020905,           0.0088878,          0.00038794,            0.007855,            0.007855,            0.007855
                 132,              0.0226,            0.014695,          0.00045668,             0.97868,             0.99793,             0.98895,             0.74166,            0.021193,            0.008974,          0.00042277,           0.0078385,           0.0078385,           0.0078385
                 133,            0.022166,             0.01386,          0.00056981,             0.98015,             0.99504,             0.98995,             0.74304,             0.02077,           0.0089069,          0.00046184,            0.007822,            0.007822,            0.007822
                 134,            0.021751,            0.014013,          0.00057598,             0.97764,             0.99793,             0.99067,             0.74599,            0.020645,           0.0089404,          0.00046402,           0.0078055,           0.0078055,           0.0078055
                 135,            0.022248,            0.014557,          0.00044193,             0.97383,             0.99504,             0.99144,             0.75132,            0.020391,           0.0088873,          0.00042049,            0.007789,            0.007789,            0.007789
                 136,            0.021501,            0.014239,          0.00052862,             0.97338,             0.99504,             0.99137,             0.74863,            0.020985,           0.0089071,           0.0004376,           0.0077725,           0.0077725,           0.0077725
                 137,            0.022521,            0.013867,          0.00049702,             0.97536,             0.99504,             0.99195,             0.75248,             0.02049,           0.0087912,          0.00044304,            0.007756,            0.007756,            0.007756
                 138,            0.022093,            0.013087,          0.00050398,             0.97468,             0.99394,             0.99231,             0.74926,            0.020766,           0.0087905,          0.00044634,           0.0077395,           0.0077395,           0.0077395
                 139,              0.0218,             0.01445,          0.00044554,              0.9798,             0.99062,             0.99179,              0.7526,            0.020873,            0.008852,          0.00043286,            0.007723,            0.007723,            0.007723
                 140,            0.022741,            0.014112,           0.0004771,             0.98105,             0.99329,             0.99076,             0.74714,            0.020879,           0.0088252,          0.00040194,           0.0077065,           0.0077065,           0.0077065
                 141,            0.021669,            0.012995,           0.0004466,             0.98145,             0.99336,             0.99055,             0.73609,            0.020901,           0.0090108,          0.00040701,             0.00769,             0.00769,             0.00769
                 142,            0.021389,            0.013259,            0.000438,             0.98091,             0.99504,             0.99118,             0.74037,            0.020808,           0.0089262,           0.0003997,           0.0076735,           0.0076735,           0.0076735
                 143,            0.021343,            0.013019,          0.00047593,             0.98134,             0.99504,             0.99162,             0.74823,            0.020347,           0.0088942,          0.00037853,            0.007657,            0.007657,            0.007657
                 144,            0.020988,            0.013859,          0.00046719,             0.98081,             0.99504,              0.9916,             0.74224,             0.02065,           0.0088776,          0.00038646,           0.0076405,           0.0076405,           0.0076405
                 145,            0.020958,            0.013693,          0.00036474,             0.98115,             0.99504,             0.99047,             0.74293,            0.021424,             0.00897,          0.00040153,            0.007624,            0.007624,            0.007624
                 146,            0.022644,            0.013764,          0.00047931,             0.98095,             0.99504,             0.98936,             0.73927,            0.020984,           0.0089729,          0.00042496,           0.0076075,           0.0076075,           0.0076075
                 147,            0.021541,            0.014381,          0.00040483,             0.98082,             0.99504,             0.99097,              0.7451,            0.020837,           0.0089755,          0.00039438,            0.007591,            0.007591,            0.007591
                 148,            0.020834,            0.013183,          0.00038685,             0.98018,             0.99504,             0.99175,             0.75143,            0.020988,           0.0088557,          0.00038955,           0.0075745,           0.0075745,           0.0075745
                 149,            0.022037,            0.013751,          0.00047142,             0.98057,             0.99504,             0.99228,             0.75371,            0.021003,            0.008822,          0.00040884,            0.007558,            0.007558,            0.007558
                 150,             0.02112,            0.014041,          0.00047686,             0.98079,             0.99504,             0.99217,             0.74764,            0.020718,           0.0088557,           0.0004495,           0.0075415,           0.0075415,           0.0075415
                 151,            0.021905,            0.014723,          0.00045077,             0.98092,             0.99499,             0.99139,             0.74521,            0.021295,           0.0089302,          0.00043662,            0.007525,            0.007525,            0.007525
                 152,            0.021542,            0.013058,          0.00037282,             0.98035,             0.99462,             0.99177,             0.74833,            0.021298,           0.0088176,          0.00042975,           0.0075085,           0.0075085,           0.0075085
                 153,             0.02162,             0.01371,          0.00045695,             0.98027,             0.99464,             0.99225,             0.74988,            0.020472,           0.0088006,          0.00040976,            0.007492,            0.007492,            0.007492
                 154,            0.021323,            0.014402,          0.00045691,             0.98011,             0.99436,             0.99288,             0.73692,            0.021422,           0.0088902,          0.00036775,           0.0074755,           0.0074755,           0.0074755
                 155,            0.021825,            0.013673,          0.00040971,             0.97961,             0.99504,             0.99216,             0.75266,            0.020589,           0.0089298,          0.00034278,            0.007459,            0.007459,            0.007459
